Season,Team,MP,W,D,L,GF,GA,GD,POSS,PASS,Shot On Target,SAVE,Points,
2015-16,Athletic Club,38,18,8,12,58,45,13,49.9,74.4,35.7,70.2,62,
2015-16,Atletico Madrid,38,28,4,6,63,18,45,48.5,77.9,34.7,82.8,88,
2015-16,Barcelona,38,29,4,5,112,29,83,67.1,86.8,44,78.1,91,
2015-16,Betis,38,11,12,15,34,52,-18,46.7,74.6,31.7,72,45,
2015-16,Celta Vigo,38,17,9,12,51,59,-8,56.4,79.5,35,63.9,60,
2015-16,Eibar,38,11,10,17,49,61,-12,45.2,68.6,36.9,61.7,43,
2015-16,Espanyol,38,12,7,19,40,74,-34,46.2,74.9,37.8,60.2,43,
2015-16,Getafe,38,9,9,20,37,67,-30,46.1,47,33.8,67,36,
2015-16,Granada,38,10,9,19,46,69,-23,44.6,73.2,30.4,62.2,39,
2015-16,La Coruna,38,8,18,12,45,61,-16,47.1,75,34.5,61.1,42,
2015-16,Las Palmas,38,12,8,18,45,53,-8,54.6,81.3,38.8,72.4,44,
2015-16,Levante,38,8,8,22,37,70,-33,45.9,73.3,32.9,64.5,32,
2015-16,Malaga,38,12,12,14,38,35,3,48.8,73.2,36.9,75.4,48,
2015-16,Rayo Vallecano,38,9,11,18,52,73,-21,55.6,77.1,35.5,63.7,38,
2015-16,Real Madrid,38,28,6,4,110,34,76,57.3,86.7,40.6,75.9,90,
2015-16,Real Sociedad,38,13,9,16,45,48,-3,51.8,77,34.5,71.5,48,
2015-16,Sevilla,38,14,10,14,51,50,1,50,77.3,39.6,72.4,52,
2015-16,Sporting Gijon,38,10,9,19,40,62,-22,43.1,72.1,32.6,71,39,
2015-16,Valencia,38,11,11,16,46,48,-2,50.1,78.8,34.6,74,44,
2015-16,Villarreal,38,18,10,10,44,35,9,45.9,76.2,39.1,74.8,64,
2016-17,Alaves,38,14,13,11,41,43,-2,44.4,76.4,34.5,75,55,
2016-17,Athletic Club,38,19,6,13,53,43,10,51.1,75.9,38.3,64.7,63,
